  -8.00000000       1.60381094E-28   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000    
  -7.98000002       2.20776740E-28   1.48658915E-25   1.56863464E-22   5.20386007E-17   0.00000000      -1.48658915E-25  -1.56863464E-22  -5.20386007E-17
  -7.96000004       3.03673724E-28   2.35183422E-25   2.43317116E-22   7.73587647E-17   0.00000000      -2.35183422E-25  -2.43317116E-22  -7.73587647E-17
  -7.94000006       4.17360671E-28   3.17769615E-25   3.23064415E-22   9.91359156E-17   0.00000000      -3.17769615E-25  -3.23064415E-22  -9.91359156E-17
  -7.92000008       5.73151744E-28   4.29015791E-25   4.28572302E-22   1.26760439E-16   0.00000000      -4.29015791E-25  -4.28572302E-22  -1.26760439E-16
  -7.90000010       7.86468708E-28   5.78737942E-25   5.68017364E-22   1.61722254E-16   0.00000000      -5.78737942E-25  -5.68017364E-22  -1.61722254E-16
  -7.88000011       1.07831017E-27   7.80063824E-25   7.52128310E-22   2.06011846E-16   0.00000000      -7.80063824E-25  -7.52128310E-22  -2.06011846E-16
  -7.86000013       1.47726954E-27   1.05054441E-24   9.94992456E-22   2.62271894E-16   0.00000000      -1.05054441E-24  -9.94992456E-22  -2.62271894E-16
  -7.84000015       2.02221739E-27   1.41363598E-24   1.31513821E-21   3.33908223E-16   0.00000000      -1.41363598E-24  -1.31513821E-21  -3.33908223E-16
  -7.82000017       2.76598419E-27   1.90066569E-24   1.73695549E-21   4.25163370E-16   0.00000000      -1.90066569E-24  -1.73695549E-21  -4.25163370E-16
  -7.80000019       3.78026267E-27   2.55342876E-24   2.29249633E-21   5.41207361E-16   0.00000000      -2.55342876E-24  -2.29249633E-21  -5.41207361E-16
  -7.78000021       5.16235699E-27   3.42762785E-24   3.02369673E-21   6.88328725E-16   0.00000000      -3.42762785E-24  -3.02369673E-21  -6.88328725E-16
  -7.76000023       7.04413731E-27   4.59742535E-24   3.98514495E-21   8.74296238E-16   0.00000000      -4.59742495E-24  -3.98514495E-21  -8.74296238E-16
  -7.74000025       9.60413038E-27   6.16146594E-24   5.24769035E-21   1.10890366E-15   0.00000000      -6.16146594E-24  -5.24769035E-21  -1.10890366E-15
